"DateTime";"Fiyat (open)";"Fiyat (high)";"Fiyat (low)";"Fiyat (close)";"Ağ. Ort. Fiyat";"Hacim"
"2019-07-26 00:00:00";1,125;1,4;0,1315;1,265;1,2959;8073601,73
"2019-07-29 00:00:00";1,325;1,4;1,125;1,25;1,2793;13551071,5
"2019-07-30 00:00:00";1,325;1,4;1;1,31;1,2853;5540359,33
"2019-07-31 00:00:00";1,35;1,4;1,1;1,25;1,3081;20378380,85
"2019-08-01 00:00:00";1,25;1,4;1,125;1,198;1,3098;11914034,38
"2019-08-02 00:00:00";1,325;1,4;1,125;1,25;1,306;17252505,75
"2019-08-05 00:00:00";1,25;1,4;1,125;1,325;1,2983;12359999,75
"2019-08-06 00:00:00";1,35;1,4;1,125;1,32;1,3043;15973608,8
"2019-08-07 00:00:00";1,25;1,35;1,125;1,325;1,3019;6675707,25
"2019-08-08 00:00:00";1,325;1,4;1,125;1,18;1,3093;6105278
"2019-08-09 00:00:00";1,325;1,35;1,125;1,3;1,3165;13722529,9
"2019-08-15 00:00:00";1,325;1,35;1,125;1,21;1,3135;3736967,2
"2019-08-16 00:00:00";1,25;1,35;1,125;1,25;1,3198;6557641,5
"2019-08-19 00:00:00";1,325;1,35;1,125;1,19;1,3168;7188072,45
"2019-08-20 00:00:00";1,35;1,4;1,125;1,39;1,3026;6520564,4
"2019-08-21 00:00:00";1,325;1,69;1,125;1,325;1,3247;5048558,5
"2019-08-22 00:00:00";1,325;1,4;1,125;1,2;1,304;3198244,25
"2019-08-23 00:00:00";1,35;1,4;1,125;1,2;1,3033;2962499,6
"2019-08-26 00:00:00";1,35;1,35;1,125;1,22;1,3151;4457246,35
"2019-08-27 00:00:00";1,35;1,4;1,125;1,33;1,3204;3836693,25
"2019-08-28 00:00:00";1,325;1,35;1,125;1,22;1,3224;3778139,9
"2019-08-29 00:00:00";1,35;1,38;1,125;1,3;1,3039;1808529,81
"2019-09-02 00:00:00";1,35;1,6;1,125;1,6;1,3787;4011813,24
"2019-09-03 00:00:00";1,325;1,6;1,125;1,17;1,342;2948927,65
"2019-09-04 00:00:00";1,4;1,6;1,125;1,32;1,3679;2123447,75
"2019-09-05 00:00:00";1,4;1,42;1,15;1,328;1,3181;3058737,75
"2019-09-06 00:00:00";1,325;1,35;1,125;1,265;1,3199;532095,92
"2019-09-09 00:00:00";1,35;1,35;1,125;1,3;1,324;1259726
"2019-09-10 00:00:00";1,325;1,35;1,25;1,25;1,3119;1308186,5
"2019-09-11 00:00:00";1,325;1,43;1,125;1,43;1,3167;824060,8
"2019-09-12 00:00:00";1,325;1,4;1,25;1,35;1,3206;855239,75
"2019-09-13 00:00:00";1,325;1,45;1,25;1,325;1,3229;1347698,75
"2019-09-16 00:00:00";1,325;1,325;1,125;1,275;1,2916;912956,5
"2019-09-17 00:00:00";1,325;1,335;1,25;1,25;1,3043;734271,2
"2019-09-18 00:00:00";1,325;1,35;1,295;1,3;1,3233;307717,75
"2019-09-19 00:00:00";1,35;1,4;1,25;1,25;1,3294;526724,9
"2019-09-20 00:00:00";1,25;1,62;1,21;1,351;1,3337;729152,34
"2019-09-23 00:00:00";1,25;1,325;1,23;1,255;1,2833;136847,55
"2019-09-24 00:00:00";1,35;1,35;1,25;1,259;1,3021;228454,88
"2019-09-25 00:00:00";1,325;1,45;1,125;1,3;1,3244;187345
"2019-09-26 00:00:00";1,275;1,325;1,25;1,25;1,2675;212512
"2019-09-27 00:00:00";1,325;1,64;1,25;1,38;1,3564;352055,9
"2019-09-30 00:00:00";1,25;1,42;1,125;1,3;1,3183;429127,3
"2019-10-01 00:00:00";1,325;1,4;1,29;1,4;1,3477;445960,1
"2019-10-02 00:00:00";1,25;1,435;1,25;1,285;1,366;517676
"2019-10-03 00:00:00";1,045;1,35;1,045;1,285;1,266;437213,39
"2019-10-04 00:00:00";1,35;1,36;1,26;1,36;1,3221;192009,6
"2019-10-07 00:00:00";1,275;1,49;1,25;1,34;1,3497;639937,6
"2019-10-08 00:00:00";1,325;1,46;1,28;1,355;1,3616;514375,7
"2019-10-09 00:00:00";1,325;1,47;1,2;1,4;1,4013;747859,8
"2019-10-10 00:00:00";1,25;1,61;1,25;1,39;1,4371;411908,6
"2019-10-11 00:00:00";1,325;1,4;1,325;1,392;1,3801;174857,8
"2019-10-14 00:00:00";1,36;1,45;1,275;1,395;1,3769;245028,8
"2019-10-15 00:00:00";1,35;1,5;1,3;1,45;1,3752;599508,9
"2019-10-16 00:00:00";1,3;1,45;1,3;1,35;1,3774;292318
"2019-10-17 00:00:00";1,25;1,51;1,25;1,5;1,4272;736954,1
"2019-10-18 00:00:00";1,35;1,65;1,35;1,384;1,4555;264033,32
"2019-10-21 00:00:00";1,37;1,67;1,125;1,42;1,475;719165,6
"2019-10-22 00:00:00";1,55;1,55;1,395;1,46;1,4391;371425,6
"2019-10-23 00:00:00";1,45;1,495;1,275;1,325;1,3745;442572,21
"2019-10-24 00:00:00";1,275;1,54;1,275;1,4;1,397;422984,4
"2019-10-25 00:00:00";1,25;1,42;1,25;1,4;1,4065;77553,2
