Dates,Tweets
2023-04-13,"Let me first state forthright that contrary to what we've often read in books and heard from preachers, when you are a woman, you don't feel like the Devil. ,Orhan Pamuk, My Name is Red,dark-wit, devil, preachers, woman,"
2023-04-12,"@literaturesyrup My Name is Red by 
Orhan Pamuk"
2023-04-12,@Zack182004 Pleased to meet you zack my name is red thunder https://t.co/WbN4sqeY0u
2023-04-12,"Maybe you've understood by now that for men like myself, that is, melancholy men for whom love, agony, happiness and misery are just excuses for maintaining eternal loneliness, life offers neither great joy nor great sadness.,Orhan Pamuk, My Name is Red,loneliness, solitude,"
2023-04-12,@DarkJomoko @algore_rhythms My name is red? https://t.co/2Hk14F4zBE
2023-04-12,just finished “my name is red” by orhan pamuk it’s a breathtakingly beautiful book-the style it was written it was super unique and i rlly liked it but it also made it a tad confusing at times
2023-04-12,@dylanaultmusic hi my name is red toyota camry
2023-04-12,"@SpiritBalances ""Avatar...? oh uh...my name is Red"""
2023-04-11,"@ATruthfulLie ""My name is Red"""
2023-04-11,I said you can’t be part of a system and outside of it at the same time.
2023-04-11,"I hated to point it out, but I never thought Elon was the free speech hero people thought he was. A day later, he proved my exact point. I said that nobody with a clearance, government contracts and subsidies is going to be a free speech absolutist."
2023-04-10,Red Simpson - My Name Is Red Simpson https://t.co/V6aXbdDjkI
2023-04-10,@lilnatnat_ @weluvyounickk2 My name is red
2023-04-10,@IKimzwoman اصولا بچه ها از من خوششون نمیاد فقط یه بار یه پسربچه با مامانش اومده بود باشگاه بعد به من اشاره کرد و به دوستم گفت خالهههههه. اوووم.. و با دستش لایک نشون داد😂
2023-04-10,@shima01147499 خیلی ناراحت شدم و ای کاش میتونستم کمکت کنم و ازت محافظت کنم...سعی کن حتما بری پیش تراپیست و ازش کمک بگیری
2023-04-10,"@germanexplained b. Ich würde ihm etwas von Orhan Pamuk empfehlen, zum Beispiel: My name is red"
2023-04-10,@rasoleakram @Rahatartar 😂😂😂😂😂😂
2023-04-10,@Nilphrr تولدت همیشه یادمه..سلیقه اهنگتو میشناسم ...کتابا و فیلمای خوب بهت معرفی میکنم همین که پیام بدی سین میکنم ...به همه حرفاتم گوش میدم
2023-04-10,"@SFDamnPodcast @ppv_tahoe I just left a similar comment. San Fran &amp; the Bay Area was such a cool place in the 80’s-90’s. It’s a different planet now. I was excited to take my husband, but I hadn’t been in some time. I was warned, but I thought it was hyperbole. Let’s just say he never wanted to go back."
2023-04-10,"@ShellenbergerMD Some of my best memories are stuck in 80’s-20’s San Fran. It was eclectic, had character, a unique essence to it. No city was quite like it. To see such suffering...The death of these people &amp; the death of this city seem to reflect the downward spiral of our country."
2023-04-09,"My name is Red, 
Orhan Pamuk 

“For the sake of a delightful and convincing story, there isn’t a lie Orhan wouldn’t deign to tell” https://t.co/N61RVxovMt"
2023-04-09,“My Name Is Red” by Orhan Pamuk
2023-04-09,"@EverTrua_TTV Howdy, my name is Red Akain. I am a Red Kitsune, who is 21 years old https://t.co/ZGw6Usk8Ss"
2023-04-09,"My Name Is Red 🌹

0.36 $Eth
https://t.co/KyNndtVi2U https://t.co/YZETyIpIeH"
2023-04-09,"@KandiixKatt Hi! My name is Red Deere, and I am 26 years old! I still love adventure and play lots of games in that genre!

I draw art from time to time, too! I like to keep things cozy during my streams when I can. Come join me!
https://t.co/FLdxSBuUSn https://t.co/Dm89lEJfBM"
2023-04-07,"@SaulStaniforth @FranceskAlbs @m7mdkurd It’s safe to say that when someone’s job description says something, something freedom, you had best believe they’re a propagandist."
2023-04-07,@andrewtpalmer Fokking hell that was funny. You earned my follow🤣.
2023-04-07,"@KayFabe2022 @TheLastMohicans @ShellenbergerMD All great tips. It’s just shocking &amp; really frustrating to see how many are not just sheep/sleep walking, but how confident they are in their tunnel vision. I get it, I used to think some of the same things. It’s like leaving a cult."
2023-04-07,"@KayFabe2022 @TheLastMohicans @ShellenbergerMD A net positive for sure! I’m grateful he exposed it. 

Q is, how will we discern the truth once these think tanks &amp; their tools take more control? Will we know our own minds? If so, how 2 convince others? Propaganda depends on us not recognizing it &amp; being shamed into silence."
2023-04-07,"@KayFabe2022 @TheLastMohicans @ShellenbergerMD Yes, I agree on all accounts. You can’t be on that level &amp; not work w/ ppl of varying degrees of shade. But once you start marinating in the same dish, it’s impossible not to pick up (@ last some)of that flavor, no matter how well intentioned."
2023-04-07,"@KayFabe2022 @TheLastMohicans @ShellenbergerMD Personally, $ like many others, I think the larger story was the fact that Medhi didn’t even acknowledge that the Twitter files exposed the fact that we’re living the same reality we thought the Soviets experienced. This is a dark, uncomfortable reality to say the least."
2023-04-07,"@KayFabe2022 @TheLastMohicans @ShellenbergerMD I trust &amp; respect Matt, he’s 1 of the few. It’s human nature and fallibility that I don’t have blind trust in. 

Elon is a curious case, I think he means well…if &amp; when it suits him. The guy is crafty. Medhi, I trust never."
2023-04-07,"@bahirairl Thank you, this was an amazing Twitter experience! Some day, I hope to  experience the real deal."
2023-04-06,"@Duckdude1973 @TheLastMohicans @ShellenbergerMD I guess what I mean is that human nature, power, &amp; states work the same @ the end of the day. We’re all looking for a hero, but no one person or thing can deliver in full. We all have a master (s) in some form or another. I will say this though, when he 1st acquired Twitter…"
2023-04-06,"@Duckdude1973 @TheLastMohicans @ShellenbergerMD I do agree w/you. He has done a great service to us all. He delivered us from the jaws of a beast we didn’t fully realize we were in, but there are limits to everything, for everyone, even him. You can’t be part of a system &amp; outside of it @ the same time."
2023-04-06,"@andrewtpalmer @KimIversenShow I agree with you there.  I just expressed the same sentiment in a comment about a different topic. We have freedom up to a point, but once that freedom threatens real power, it starts to disappear. Some governments make it obvious, others are better at hiding it."
2023-04-06,"@TheLastMohicans @ShellenbergerMD I love the work Matt, Glenn, &amp; Michael do, but you can’t trust anyone fully. Everyone has their own interests &amp; biases, &amp; we’re all in the game. ⬅️,➡️, &amp; center, US empire or emerging BRICS. Ppl are looking for a savior, but human nature &amp; states work the same in the end."
2023-04-06,"@TheLastMohicans @ShellenbergerMD When Elon 1st bought Twitter &amp; ppl said he was a free speech hero, I said no way. He will push against it to a point, but that spear will dull when/if it threatens real interests. A guy who works w/ government, has contracts w/it, receives subsidies &amp; a clearance? No way."
2023-04-06,@c3naaX My Name is Red - so good
2023-04-06,"@lilbitchenergy @maggspags I second The Scarlet Pimpernel and it's sequel! (The made for TV Jane Seymour, Anthony Andrews &amp; Ian McKellen movie which is a fun time)

I really liked A Tale of Two Cities, too

If you're looking for non-west euro ones, any of Sōseki's works, or My Name is Red by Orhan Pamuk"
2023-04-06,@sz_duras @KenjiSiratori I’d add Orhan Pamuk’s ‘My Name Is Red’. A book about one of the Ottoman book arts: miniature. The works were not signed by the painters nor created by one person. A depersonalised art of technical image reproduction. Pamuk uses miniatures to trace a murder case.
2023-04-06,"The beauty and mystery of this world only emerges through affection, attention, interest and compassion. 

Open your eyes wide and actually see this world by attending to its colors, details and irony.

Orhan Pamuk, 

                ~ My Name Is Red ~ https://t.co/qx46XPI5dL"
